Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type
220121,2022,12-12-2022,Groton,95 VALLEY RD,191520,350000,0.5472,Residential,Single Family
220020,2022,10-06-2022,Hamden,3311 WHITNEY AVE,237580,1345000,0.1766,Vacant Land,
220363,2022,02/23/2023,Hamden,27 OAKWOOD LA,334670,477500,0.7008,Residential,Single Family
220249,2022,08-10-2023,Brookfield,6 LONGVIEW DR,382340,560000,0.6827,Residential,Single Family
22181,2022,06-06-2023,Derby,42 COPPOLA TERR,169400,315000,0.5377,Residential,Single Family
220174,2022,05-09-2023,Ledyard,89 MEETINGHOUSE LN,126280,335089,0.3769,Residential,Single Family
222090,2022,06/28/2023,Bridgeport,88 CANAAN CT BLDG 84 APT 11,866170,45000,19.2482,Commercial,
220072,2022,01/30/2023,Griswold,85 BMW DRIVE,282310,449900,0.6274,Residential,Single Family
22074,2022,07/31/2023,Columbia,27 WHITNEY ROAD,187320,440000,0.4257,Residential,Single Family
2200202,2022,02/27/2023,New Milford,30 GLEN RIDGE CT,95830,196000,0.4889,Residential,Condo
22005,2022,10-05-2022,Columbia,63 JOHNSON ROAD,106750,220000,0.4852,Residential,Single Family
221087,2022,05/16/2023,Bridgeport,127 STRATFIELD PL,149320,430000,0.3472,Residential,Single Family
22070,2022,08-03-2023,Deep River,39 PINEWOOD TRAIL,367360,627000,0.5859,Residential,Single Family
220206,2022,12/14/2022,Hartford,8 MARTIN ST,55015,210000,0.2619,Residential,Three Family
220269,2022,07/20/2023,Avon,7 GRAY PINE COMMON,112110,227000,0.4938,Residential,Condo
2200415,2022,08/29/2023,East Haven,2 OLD TOWN HWY #33,305130,675000,0.452,Residential,Condo
220038,2022,10/18/2022,Branford,F70 RIVERVIEW CROSSING,74300,160000,0.4643,Residential,Condo
220990,2022,04/25/2023,Bridgeport,879 GILMAN ST,425459,770000,0.5525,Residential,Single Family
22011,2022,10/17/2022,Derby,40 DERBYSHIRE,122500,258500,0.4738,Residential,Condo
220918,2022,04-05-2023,Bridgeport,597-601 NEWFIELD AVE,56710,190000,0.2984,Residential,Condo
220066,2022,12-01-2022,New London,72 SUNSET ST,104510,200000,0.5225,Residential,Single Family
220972,2022,04/21/2023,Bridgeport,137 RICHFIELD RD,195430,350000,0.5583,Residential,Single Family
220192,2022,05/16/2023,New Canaan,176 OLD NORWALK RD,1227870,3050000,0.4025,Residential,Single Family
220193,2022,05/16/2023,Killingly,30 MAYHEW DR,146860,317000,0.4632,Residential,Single Family
220054,2022,01-09-2023,Brooklyn,30 ROBBINS RD,190900,320000,0.5965,Residential,Single Family
220373,2022,03/17/2023,Greenwich,311 STANWICH ROAD,2853760,5000000,0.5707,Residential,Single Family
2200146,2022,07-12-2023,New Fairfield,7 RIDGE RD,268300,250700,1.0702,Residential,Single Family
2200455,2022,09/28/2023,East Haven,110 HUGHES ST,183750,450000,0.4083,Residential,Two Family
220005,2022,10-03-2022,Hartford,85 NEWINGTON AVE,65452,230000,0.2845,Residential,Single Family
220368,2022,06-12-2023,Groton,0 GALES FERRY RD,526540,225000,2.3401,Vacant Land,
221542,2022,12/16/2022,Manchester,261 HACKMATACK STREET,146300,250000,0.5852,Residential,Single Family
220217,2022,01/24/2023,Enfield,12 GARY DR,137400,143000,0.9608,Residential,Single Family
220792,2022,07/28/2023,New Haven,27 WILSON ST,123340,265000,0.4654,Residential,Two Family
220071,2022,02/13/2023,Ellington,3 JOBS HILL RD,174680,500000,0.3494,Commercial,
22122,2022,02-06-2023,North Haven,40 NEWBURY CT,1,469900,0,Residential,Condo
220810,2022,08-03-2023,Meriden,2588 MERIDEN SQ TNHS,52990,2050000,0.0258,Residential,Condo
220076,2022,01-03-2023,Bloomfield,1085-A BLUE HILLS AVE,35980,82000,0.4387,Residential,Condo
220243,2022,05-12-2023,New London,0 SANDER ST,18760,44900,0.4178,Vacant Land,
220262,2022,01-05-2023,Hamden,85 WEST HELEN ST,116690,90000,1.2965,Residential,Single Family
22063,2022,07/17/2023,Bethany,696 AMITY RD,342390,537500,0.637,Commercial,
220371,2022,12/22/2022,Branford,GARAGE 3 FOXBRIDGE,2700,14000,0.1928,Residential,Condo
220220,2022,06/15/2023,Avon,2 MAPLE LANE,107390,335000,0.3205,Residential,Condo
2200305,2022,04/19/2023,Naugatuck,380 NORTH MAIN ST,129010,300000,0.43,Commercial,
220025,2022,10/14/2022,Groton,41 ROSE LN,351540,480000,0.7323,Residential,Single Family
220239,2022,06/26/2023,East Lyme,68 OAKWOOD,146300,300000,0.4876,Residential,Single Family
221051,2022,05-08-2023,Bridgeport,45 STEVENS STUNIT #2L,34990,85000,0.4116,Residential,Condo
220149,2022,04-04-2023,New Canaan,312 ELM ST-UNIT 36,667100,1150000,0.58,Residential,Condo
220188,2022,08-01-2023,Clinton,32 & 36 CARTER HILL RD,202400,307500,0.6582,Vacant Land,
22236,2022,07/18/2023,Darien,317 NOROTON AVE,540120,1610000,0.3354,Residential,Single Family
220180,2022,03/17/2023,New London,180 GARDNER AVE,126420,284000,0.4451,Residential,Single Family
220251,2022,11/16/2022,Bridgeport,90 VIRGINIA AVE,41070,160000,0.2567,Residential,Condo
220565,2022,05-08-2023,Hamden,3208 WHITNEY AVE U5C,103180,230000,0.4486,Residential,Condo
22283,2022,08/30/2023,Darien,160 NEARWATER LANE,796180,1730000,0.4602,Residential,Single Family
220100,2022,06-01-2023,Brooklyn,379 TRIPP HOLLOW RD,98200,469900,0.2089,Residential,Single Family
2000720,2020,01-05-2021,Stamford,57 HARBOR DRIVE GARAGE G-105B,19110,27500,0.6949,Residential,Condo
220729,2022,06/14/2023,Milford,130 QUARRY RD,264220,485000,0.5447,Residential,Single Family
2200104,2022,12-07-2022,New Milford,9 ASPETUCK PINES DR,205490,435000,0.4724,Residential,Single Family
22196,2022,07/14/2023,Monroe,203A WINDGATE CIR,107200,252000,0.4253,Residential,Condo
220985,2022,04/18/2023,Fairfield,33 HEATHER LANE,421540,263333,1.6008,Residential,Single Family
22020,2022,04/24/2023,Franklin,413 POND RD,123650,180000,0.6869,Residential,Single Family
22192,2022,06/13/2023,Darien,11 DRIFTWAY LANE,1212540,3000000,0.4041,Residential,Single Family
220098,2022,02/21/2023,East Hampton,MBL 26/87/6,14080,400000,0.0352,Vacant Land,
2222044,2022,11/15/2022,Ansonia,321 BEAVER ST,274190,317500,0.8635,Residential,Two Family
220005,2022,10-11-2022,Litchfield,376 TORRINGTON RD,93830,212000,0.4425,Residential,Single Family
221015,2022,08/30/2023,Milford,348 FOXWOOD LN,119270,220000,0.5421,Residential,Condo
223476,2022,08/16/2023,Newington,90 HARDING AVE,117270,265000,0.4425,Residential,Single Family
221036,2022,05-04-2023,Bridgeport,300 NORTH BISHOP AVE BLDG #94,866170,45000,19.2482,Commercial,
220936,2022,08/30/2023,Hamden,24 PENN ST,134260,310000,0.433,Residential,Single Family
22198,2022,07-05-2023,Derby,121 HAWTHORNE AVE,151970,280000,0.5427,Residential,Two Family
22117,2022,03/28/2023,Darien,11 PARSONS WALK,1205890,2700000,0.4466,Residential,Single Family
220063,2022,11-04-2022,Groton,188 RIDGEWOOD DR,189420,320000,0.5919,Residential,Single Family
220700,2022,05/31/2023,Milford,512 ANDERSON AVE,312260,595000,0.5248,Residential,Single Family
223266,2022,04/28/2023,Newington,32 CHAPLIN ST,167130,237000,0.7051,Residential,Condo
2200493,2022,08/29/2023,Naugatuck,192 QUINN STREET,151410,305000,0.4964,Residential,Single Family
220895,2022,08/15/2023,Meriden,223 BLACKSTONE VLG,63280,140000,0.452,Residential,Condo
220045,2022,01/17/2023,Mansfield,1196-1204 STORRS RD,605100,850000,0.7118,Commercial,
220217,2022,02/24/2023,Groton,86 CROSSWINDS DR,496930,840000,0.5915,Residential,Single Family
220954,2022,09/25/2023,Meriden,19 ANDREA HGTS,41160,21463,1.9177,Vacant Land,
220006,2022,10/21/2022,Lisbon,327 N BURNHAM HGWY,110070,145000,0.7591,Residential,Single Family
220016,2022,11-02-2022,North Branford,206 PARSONAGE HILL RD,194600,370000,0.5259,Residential,Single Family
220096,2022,03/21/2023,Coventry,MAIN ST,84500,100000,0.845,Vacant Land,
22193,2022,04/25/2023,North Haven,111 SUGAR HILL RD,231760,485000,0.4778,Residential,Single Family
22042,2022,05-03-2023,Bethany,5 HATFIELD HILL RD,260790,575000,0.4535,Residential,Single Family
22054,2022,12/21/2022,Derby,42 SUNSET DR,152180,324900,0.4683,Residential,Single Family
2200050,2022,11-01-2022,Naugatuck,107 WOOSTER ST,222320,367000,0.6057,Residential,Single Family
221234,2022,07/13/2023,Fairfield,149 BROOKLAWN TERRACE,360570,800000,0.4507,Residential,Single Family
221094,2022,09/18/2023,Milford,27 KEREMA AVE,209590,340000,0.6164,Residential,Single Family
220131,2022,12-07-2022,Enfield,364 HAZARD AVE,224800,300000,0.7493,Residential,Three Family
221708,2022,03/21/2023,Manchester,200 SHELDON ROAD,547900,860000,0.637,Industrial,
220013,2022,10/14/2022,Griswold,35 ALVINA AV,101360,160000,0.6335,Residential,Single Family
2000737,2020,01-06-2021,Stamford,LOT 2 EDEN ROAD,208560,238000,0.8763,Vacant Land,
220049,2022,11-07-2022,Brookfield,83 STONY HILL,288300,128129,2.2501,Residential,Two Family
220323,2022,02/14/2023,New Haven,36 LYON ST,539560,1630000,0.331,Apartments,
2200466,2022,08-08-2023,Naugatuck,68 HIGH ST,123410,305000,0.4046,Residential,Two Family
220021,2022,11/23/2022,Essex,9 CLARKS POND LA,251400,560000,0.4489,Residential,Single Family
22041,2022,11/17/2022,Monroe,33 HIGHLAND DRIVE,146800,231500,0.6341,Residential,Condo
22065,2022,11/22/2022,Montville,20 DESJARDINS DR,180530,327000,0.552,Residential,Single Family
220125,2022,04-05-2023,East Hampton,12 NORTH RIDGE,187590,369000,0.5083,Residential,Single Family
220173,2022,07/17/2023,Harwinton,5 NEIDT RD,141840,360000,0.394,Residential,Single Family
22146,2022,05/25/2023,Monroe,17 HIGHLAND DR,114000,205000,0.556,Residential,Condo
220263,2022,09/26/2023,East Hampton,16 DANIEL ST,242100,469900,0.5152,Residential,Single Family
2200159,2022,01-04-2023,East Hartford,677 FORBES ST,145770,180000,0.8098,Residential,Single Family
220015,2022,10-04-2022,Hamden,210 COOPER LA,139160,335000,0.4154,Residential,Single Family
220109,2022,07/14/2023,Hebron,169 HOPE VALLEY RD,170660,322000,0.53,Residential,Single Family
220099,2022,03-01-2023,East Windsor,107 GREENWOODS LN,92220,215000,0.4289,Residential,Condo
220077,2022,11-01-2022,Meriden,3 NEW ENGLAND PARK,22890,60000,0.3815,Residential,Single Family
221277,2022,07/31/2023,Fairfield,26 WILDWOOD ROAD,317380,500000,0.6347,Residential,Single Family
2200173,2022,05-02-2023,Bloomfield,1081-F BLUE HILLS AVE,32550,85000,0.3829,Residential,Condo
220451,2022,01/18/2023,Fairfield,38 REYNOLDS DRIVE,335370,630000,0.5323,Residential,Single Family
220139,2022,03-10-2023,Madison,9 MADRINA N,221700,436170,0.5082,Residential,Single Family
220552,2022,07/31/2023,Enfield,HAMLET B05UF,113500,230000,0.4934,Residential,Condo
22005,2022,11/16/2022,Eastford,40 LAKESIDE DR,93170,207088,0.4499,Residential,Single Family
22159,2022,05-09-2023,Darien,9 CLOCKS LANE,1284500,2550000,0.5037,Residential,Single Family
220160,2022,04-10-2023,Madison,1474 DURHAM RD,182910,260000,0.7035,Residential,Single Family
220035,2022,10/21/2022,East Lyme,25 COVE ST,170800,201000,0.8497,Residential,Single Family
220822,2022,03/17/2023,Bridgeport,3183 MAIN ST,166344,450000,0.3696,Residential,Three Family
220084,2022,02/27/2023,Griswold,80 L-33 SHELDON RD,49700,29900,1.6622,Residential,Single Family
22000024,2022,10/18/2022,Cheshire,460 CASTLE GLENN,304870,549900,0.5544,Residential,Condo
22225,2022,08/14/2023,Monroe,4 CHERRY HILL CIRCLE,261300,475000,0.5501,Residential,Condo
220004,2022,10/31/2022,Cornwall,30 TOWN ST SOUTH,650600,1013000,0.6422,Residential,Single Family
220764,2022,07/20/2023,Greenwich,CONCORD STREET 0012,594860,1100000,0.5407,Residential,Two Family
220093,2022,02/23/2023,East Windsor,16 MARGARET DR,144920,200001,0.7245,Residential,Single Family
220098,2022,11/15/2022,Greenwich,519 WEST LYON FARM DRIVE,673890,1125000,0.599,Residential,Condo
220293,2022,01/25/2023,Meriden,555 SO CURTIS ST,145180,242000,0.5999,Residential,Two Family
220407,2022,02/22/2023,Milford,83 EAST BROADWAY #B,124820,264000,0.4728,Residential,Condo
220510,2022,02/28/2023,Fairfield,450 CENTER STREET  UNIT 5,461160,730000,0.6317,Residential,Condo
220120,2022,08/14/2023,Hebron,61 CHESTERFIELD RD,355600,605000,0.5877,Residential,Single Family
220064,2022,10/20/2022,Milford,30 PEARL HILL ST,262570,460000,0.5708,Residential,Single Family
221971,2022,07/28/2023,Manchester,7 LORRAINE ROAD,206000,407500,0.5055,Residential,Single Family
220086,2022,09/18/2023,Lisbon,15 SERGEANTS WAY,265140,484000,0.5478,Residential,Single Family
22065,2022,12/19/2022,Darien,5 WARNER DRIVE,380730,1060000,0.3592,Residential,Single Family
220077,2022,12-09-2022,East Lyme,185 MAIN ST #202,187390,490000,0.3824,Residential,Condo
22056,2022,11/16/2022,Montville,3 ANDERSEN LN,234570,439000,0.5343,Residential,Single Family
22022,2022,12-05-2022,Barkhamsted,57 RIVER RD,206810,800000,0.2585,Residential,Single Family
2200039,2022,10/31/2022,New Milford,295 PUMPKIN HILL RD,208230,423261,0.492,Residential,Single Family
22072,2022,06/15/2023,Lebanon,EXETER RD,416360,33000,12.617,Vacant Land,
220115,2022,05-01-2023,Ellington,33 MAPLEWOOD DR,151910,280000,0.5425,Residential,Single Family
220254,2022,12/27/2022,Hartford,15 ELLIOTT ST,75080,230000,0.3264,Residential,Two Family
220583,2022,05/31/2023,New Haven,516 WOODWARD AV #18,101500,190000,0.5342,Residential,Condo
220373,2022,12-06-2022,Bridgeport,305 SYLVAN ST,226880,456000,0.4975,Residential,Single Family
220268,2022,03/27/2023,Naugatuck,41 COUNSELOR DR,232820,410000,0.5678,Residential,Single Family
221735,2022,04-03-2023,Manchester,30-32 FOSTER STREET,262100,500000,0.5242,Residential,Two Family
22009,2022,11-08-2022,Norfolk,24 RIVER PL & RIVER PL,118760,141000,0.8422,Residential,Three Family
220406,2022,03/31/2023,Greenwich,10 MAHER AVENUE,1401470,2650000,0.5288,Residential,Single Family
220841,2022,08/14/2023,Greenwich,SHORE ACRE DRIVE 0003,1758330,4750000,0.3701,Residential,Single Family
220307,2022,08/21/2023,Avon,43 FAR HILLS DRIVE,884200,1500000,0.5894,Residential,Single Family
220610,2022,06-06-2023,New Haven,543 WOODWARD AV,652400,1000000,0.6524,Apartments,
220417,2022,04-04-2023,Greenwich,74 BENJAMIN STREET,1082410,2195000,0.4931,Residential,Single Family
22035,2022,04-05-2023,Chester,37 CASTLE VIEW DR,138460,226099,0.6124,Residential,Single Family
220027,2022,02/15/2023,Durham,478 POWDER HILL ROAD,265690,500000,0.5313,Residential,Single Family
22112,2022,07/24/2023,Haddam,198 HAYDEN HILL RD,240700,487000,0.4942,Residential,Single Family
220832,2022,08-09-2023,Greenwich,BOULDER BROOK ROAD 0039,2745120,4450000,0.6169,Residential,Single Family
220076,2022,06-01-2023,New Hartford,76 ARROWHEAD DRIVE,329560,361570.72,0.9114,Residential,Single Family
22000071,2022,11/22/2022,Cheshire,150 BRENTWOOD DR,201680,469900,0.4291,Residential,Single Family
220149,2022,12/29/2022,Groton,202 DARTMOUTH DR,188440,330000,0.571,Residential,Single Family
220246,2022,03-10-2023,Litchfield,22 BIGOS RD,143840,250000,0.5753,Residential,Single Family
2200136,2022,12/30/2022,New Milford,26 EAST VIEW DR,36900,34000,1.0853,Vacant Land,
220234,2022,08-09-2023,East Hampton,22 MOTT HILL,120360,387500,0.3106,Residential,Single Family
220002,2022,10-03-2022,Meriden,397 COLONY ST,67270,150000,0.4484,Residential,Single Family
22102,2022,03/21/2023,Monroe,1428 MONROE TPKE,711300,1450000,0.4906,Residential,Single Family
2200371,2022,05-09-2023,East Hartford,115 SAWKA DR,157560,309000,0.5099,Residential,Single Family
220052,2022,11/14/2022,Avon,21 FRANCIS STREET,163390,282000,0.5793,Residential,Single Family
22000285,2022,06/22/2023,Cheshire,395 E MITCHELL AVE,40480,147000,0.2753,Residential,Condo
220058,2022,08/28/2023,Kent,25 NORTH MAIN ST U4,87700,140000,0.6264,Commercial,
220309,2022,09/13/2023,East Windsor,25 STEEPLE CHASE RD,164190,435000,0.3774,Residential,Condo
220006,2022,10-04-2022,Branford,69 TODDS HILL RD,72400,579784,0.1248,Residential,Single Family
220231,2022,02-02-2023,Enfield,108 MIDDLE RD,133000,270000,0.4925,Residential,Single Family
220159,2022,04-12-2023,New Canaan,312 ELM ST - #23,769230,1225000,0.6279,Residential,Condo
220092,2022,02/21/2023,East Windsor,124 SOUTH WATER ST,94540,153500,0.6158,Residential,Single Family
220274,2022,07/25/2023,New Canaan,4 RIVER ST,461790,1085000,0.4256,Residential,Two Family
2200473,2022,07-03-2023,East Hartford,32 WOOD DR,143020,200000,0.7151,Residential,Single Family
22132,2022,04/13/2023,Darien,57 NEARWATER LANE,1708630,2800000,0.6102,Residential,Single Family
220446,2022,06-09-2023,Enfield,3 STONY BROOK RD,161400,295000,0.5471,Residential,Single Family
220326,2022,03-03-2023,Greenwich,636 STEAMBOAT ROAD #1D SOUTH,40043710,1200000,33.3698,Residential,Condo
2200291,2022,09/18/2023,Bloomfield,19 RUNDELANE,207130,500000,0.4142,Residential,Single Family
22002,2022,10-03-2022,Monroe,12 LIMA DR,240000,465000,0.5161,Residential,Single Family
220005,2022,10-03-2022,Greenwich,48 CROWN LANE,1515360,3400000,0.4457,Residential,Single Family
220234,2022,06/28/2023,New Canaan,238 JONATHAN RD,695590,1200000,0.5796,Residential,Single Family
220331,2022,02-06-2023,Hamden,565 WEST TODD ST,36680,45000,0.8151,Vacant Land,
22027,2022,11-03-2022,Derby,6 HATHORNE PL,77980,202000,0.386,Residential,Condo
220358,2022,04/26/2023,Enfield,113 SOUTH RD,127100,239000,0.5317,Residential,Single Family
220345,2022,12-09-2022,Branford,13B STONEGATE,117400,281500,0.417,Residential,Condo
220313,2022,02-06-2023,New Haven,760 QUINNIPIAC AV #15,132580,250000,0.5303,Residential,Condo
22073,2022,04-05-2023,Haddam,1006 SAYBROOK RD,121320,175000,0.6933,Vacant Land,
22101,2022,05-05-2023,Middlebury,BURR HALL RD,116600,350000,0.3331,Vacant Land,
22015,2022,04/13/2023,Colebrook,PHELPS ROAD,34800,40000,0.87,Vacant Land,
220218,2022,01-04-2023,Greenwich,51 PARK AVENUE,990990,687500,1.4414,Residential,Single Family
220157,2022,12-02-2022,Meriden,70 RANDOLPH AVE,88130,75000,1.175,Residential,Single Family
220338,2022,12-06-2022,Branford,25 BAYPATH WAY,101900,150000,0.6793,Residential,Condo
220442,2022,03/24/2023,Hamden,11 QUARRY LA,314300,525000,0.5986,Residential,Single Family
22000398,2022,09/15/2023,Cheshire,80 DEANAROSE PL,207380,420000,0.4937,Residential,Condo
220009,2022,11/17/2022,Kent,10 COBBLE RD,375000,850000,0.4411,Residential,Single Family
220114,2022,04-10-2023,Clinton,17 ALDEN DR,144000,214000,0.6728,Residential,Single Family
22019,2022,10/13/2022,Montville,3 HIGH RIDGE CIR,54110,122000,0.4435,Residential,Single Family
220701,2022,06-07-2023,Hartford,46 ANNAWAN ST,103011,325000,0.3169,Residential,Three Family
22082,2022,02/15/2023,Derby,110 SUNSET DR,118090,190000,0.6215,Residential,Single Family
2222119,2022,03/23/2023,Ansonia,115 DIVISION ST,92540,120000,0.7711,Residential,Single Family
2000857,2020,01/21/2021,Stamford,0 SUMMER STREET #116-2A,109420,195000,0.5611,Residential,Condo
222011,2022,08/17/2023,Manchester,6 DONAHUE LANE,148400,275000,0.5396,Residential,Condo
2200043,2022,11-09-2022,East Haven,8 PINE PL,68460,103600,0.6608,Residential,Single Family
220128,2022,02/23/2023,Madison,103 EAST WHARF RD,548800,1265000,0.4338,Residential,Single Family
220267,2022,08-02-2023,Ledyard,7 WHALEHEAD RD,169820,177900,0.9545,Residential,Single Family
2200327,2022,06/30/2023,East Haven,69 MCLAY AVE,150290,367500,0.4089,Residential,Single Family
220148,2022,03/31/2023,Harwinton,127 MOUNTAIN VIEW DR,258790,502000,0.5155,Residential,Single Family
22054,2022,11/15/2022,Montville,31 HOLMES RD,164150,315000,0.5211,Residential,Single Family
220321,2022,01/31/2023,Hamden,91 SECOND ST,117320,325000,0.361,Residential,Single Family
220469,2022,03/21/2023,Branford,30 RIVERSIDE DR,224400,635000,0.3534,Residential,Single Family
220137,2022,12-01-2022,Greenwich,1465 EAST PUTNAM AVENUE #101,282520,420000,0.6726,Residential,Condo
220143,2022,12/23/2022,Groton,301 BUDDINGTON RD LOT 34,0,98000,0,Residential,Single Family
220716,2022,07-11-2023,Meriden,49 ROCKLEDGE DR,140350,260000,0.5398,Residential,Single Family
22183,2022,04/17/2023,North Haven,9 BISHOP ST,144690,392200,0.3689,Residential,Single Family
220770,2022,03-08-2023,Bridgeport,87 COLONY ST #89,143860,360000,0.3996,Residential,Two Family
220141,2022,11/29/2022,Meriden,215 ELM ST,155610,270000,0.5763,Residential,Two Family
220273,2022,07/31/2023,Killingly,11 LAFANTASIE RD,190400,486000,0.3917,Residential,Single Family
221176,2022,06/28/2023,Fairfield,75 RIDGEVIEW AVENUE,437570,970000,0.4511,Residential,Single Family
22041,2022,03-07-2023,Lebanon,876 TRUMBULL HWY,193300,459000,0.4211,Residential,Single Family
22006,2022,10-04-2022,East Hartford,30 HILLSIDE ST #B-4,39050,52500,0.7438,Residential,Condo
220796,2022,06/27/2023,Milford,903 NAUGATUCK AVE,334420,400000,0.836,Residential,Single Family
220212,2022,03-06-2023,Newington,536 CYPRESS RD,98480,216000,0.4559,Residential,Condo
220110,2022,05-04-2023,Griswold,1-3 LINCOLN SQUARE,116270,250000,0.465,Residential,Single Family
220556,2022,05-05-2023,Meriden,396 CROWN ST,140980,259500,0.5432,Residential,Two Family
220474,2022,03/23/2023,Branford,E55 RIVERVIEW CROSSING,74900,177000,0.4231,Residential,Condo
220571,2022,05-11-2023,Meriden,23 VALE AVE,101640,127181,0.7991,Residential,Single Family
2200240,2022,02/23/2023,Naugatuck,58 COEN ST,178500,340000,0.525,Residential,Three Family
222126,2022,09/26/2023,Manchester,31 BROOKVIEW CIRCLE,281000,510000,0.5509,Residential,Single Family
22000311,2022,07-12-2023,Cheshire,60 RIVER VIEW CT,285580,667212,0.428,Residential,Single Family
22021,2022,04/27/2023,Norfolk,WINCHESTER RD,120550,851000,0.1416,Vacant Land,
220170,2022,04-10-2023,East Lyme,28 SMITH AVE,258790,535000,0.4837,Residential,Single Family
2200119,2022,06-05-2023,New Fairfield,16 BARNUM RD,233900,350000,0.6682,Residential,Single Family
220059,2022,10/26/2022,Hartford,246 FREEMAN ST,75007,220000,0.3409,Residential,Single Family
220369,2022,02/24/2023,Hamden,263 CENTERBROOK RD,2053610,117500,17.4775,Apartments,
2200104,2022,01/27/2023,Bloomfield,55 WEST EGGLESTON ST,112420,205000,0.5484,Residential,Single Family
222474,2022,09/25/2023,Bridgeport,1231 NORMAN ST #1235,201260,400000,0.5031,Residential,Three Family
2001101,2020,03-04-2021,Stamford,385 ERSKINE ROAD,599810,950000,0.6313,Residential,Single Family
220585,2022,05/18/2023,Meriden,101 WOODLAND HGTS,75320,185000,0.4071,Residential,Condo
220127,2022,03-01-2023,Ledyard,56 HIGHLAND DR,144200,264900,0.5443,Residential,Single Family
220577,2022,08-10-2023,Enfield,62 SIMON RD,156200,160000,0.9763,Residential,Single Family
220015,2022,10-06-2022,Meriden,132 WEST MAIN ST,340480,400000,0.8512,Commercial,
220050,2022,12/19/2022,Ellington,30 ELIZABETH ST,127560,205000,0.6222,Residential,Single Family
220284,2022,08-02-2023,Madison,24 WEST SUSSEX PL,194700,456000,0.4269,Residential,Condo
220425,2022,03-06-2023,Milford,171 CLARK ST #D,112680,205000,0.5497,Residential,Condo
220173,2022,12-08-2022,Meriden,366 COOK AVE,86940,171250,0.5076,Residential,Single Family
220357,2022,02-02-2023,Hartford,1 IMLAY ST,106135,335000,0.3168,Residential,Single Family
22129,2022,08/28/2023,Haddam,523 CHAMBERLAIN HILL RD,151700,300000,0.5056,Residential,Single Family
220606,2022,07-12-2023,Branford,33 FENWAY RD,325300,875000,0.3717,Residential,Single Family
220233,2022,06/29/2023,Avon,25 VERMILLION DRIVE,390270,775000,0.5035,Residential,Single Family
220139,2022,12/20/2022,Newington,25 PEPPER BUSH LN,210800,380000,0.5547,Residential,Condo
22078,2022,04/27/2023,Burlington,73 SAW MILL RD,260,125000,0.002,Vacant Land,
220104,2022,01/17/2023,Avon,40 PINE HILL ROAD,101260,265000,0.3821,Vacant Land,
22166,2022,03/17/2023,Montville,220 SIMPSON LN,40320,62500,0.6451,Vacant Land,
220089,2022,01-12-2023,East Hampton,15 STARVIEW WAY,21150,125000,0.1692,Vacant Land,
221421,2022,09/18/2023,Fairfield,487 WESTWAY ROAD,672980,1700000,0.3958,Residential,Condo
220731,2022,03-02-2023,Bridgeport,235 REMINGTON ST,76160,204000,0.3733,Residential,Condo
223440,2022,07/31/2023,Newington,50 ADAM DR,165420,340000,0.4865,Residential,Condo
2200373,2022,07-05-2023,New Milford,3 BURNETT RD,210160,515000,0.408,Residential,Single Family
220853,2022,03/24/2023,Bridgeport,53 GRIFFIN AVE,184490,399000,0.4623,Residential,Single Family
22249,2022,06/23/2023,North Haven,405 WASHINGTON AVE,352350,1750000,0.2013,Industrial,
220438,2022,04/14/2023,Greenwich,28 DAIRY ROAD,3030790,4900000,0.6185,Residential,Single Family
220043,2022,10/20/2022,Branford,525 EAST MAIN ST LOT 11,0,68000,0,Residential,Single Family
220133,2022,03/16/2023,Ledyard,27 SABLE DR,288050,560000,0.5143,Residential,Single Family
220672,2022,06/23/2023,New Haven,611 WHITNEY AV #A3,170940,325000,0.5259,Residential,Condo
220757,2022,07/17/2023,New Haven,262 LLOYD ST,232750,361000,0.6447,Residential,Three Family
220101,2022,01/25/2023,Brookfield,37 OLD ROUTE 7 #06,182350,549900,0.3316,Residential,Single Family
220008,2022,10-04-2022,Milford,61 MILFORD POINT RD,481370,995000,0.4837,Residential,Single Family
22066,2022,03/17/2023,Haddam,56 MAPLE AVE WEST,202330,395000,0.5122,Residential,Single Family
2200194,2022,05/26/2023,Bloomfield,28 EAST WINTONBURY AVE,163030,320000,0.5094,Residential,Single Family
220611,2022,06-09-2023,Greenwich,13 PROSPECT STREET,367500,900000,0.4083,Residential,Two Family
220271,2022,02-01-2023,Greenwich,20 PARTRIDGE HOLLOW ROAD,2733430,5250000,0.5206,Residential,Single Family
22114,2022,01/17/2023,Montville,24 KIM AVE,127330,235000,0.5418,Residential,Single Family
222074,2022,09-11-2023,Manchester,110 HAMLIN STREET,135000,265000,0.5094,Residential,Single Family
220206,2022,07/26/2023,Colchester,152 STANAVAGE RD,46500,57500,0.8086,Vacant Land,
220558,2022,01/19/2023,Bridgeport,1287 HOWARD AVE,189660,375000,0.5057,Residential,Two Family
220382,2022,05-02-2023,Enfield,95 LAURELS B2OUD,141000,268000,0.5261,Residential,Condo
220126,2022,11/28/2022,Fairfield,475 FENCEROW DRIVE,1081080,1537219,0.7032,Residential,Single Family
220128,2022,07/18/2023,Brooklyn,PARADISE DR,1800,30000,0.06,Vacant Land,
220801,2022,07/17/2023,Hartford,31 WOODLAND ST UNIT 9I,27452,95000,0.289,Residential,Condo
